Title, price, url, img
"A Light in the Attic", £51.77, http://books.toscrape.coma-light-in-the-attic_1000/index.html, http://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
"Tipping the Velvet", £53.74, http://books.toscrape.comtipping-the-velvet_999/index.html, http://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
"Soumission", £50.10, http://books.toscrape.comsoumission_998/index.html, http://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
"Sharp Objects", £47.82, http://books.toscrape.comsharp-objects_997/index.html, http://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
"Sapiens: A Brief History of Humankind", £54.23, http://books.toscrape.comsapiens-a-brief-history-of-humankind_996/index.html, http://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
"The Requiem Red", £22.65, http://books.toscrape.comthe-requiem-red_995/index.html, http://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
"The Dirty Little Secrets of Getting Your Dream Job", £33.34, http://books.toscrape.comthe-dirty-little-secrets-of-getting-your-dream-job_994/index.html, http://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull", £17.93, http://books.toscrape.comthe-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html, http://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics", £22.60, http://books.toscrape.comthe-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html, http://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
"The Black Maria", £52.15, http://books.toscrape.comthe-black-maria_991/index.html, http://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)", £13.99, http://books.toscrape.comstarving-hearts-triangular-trade-trilogy-1_990/index.html, http://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
"Shakespeare's Sonnets", £20.66, http://books.toscrape.comshakespeares-sonnets_989/index.html, http://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
"Set Me Free", £17.46, http://books.toscrape.comset-me-free_988/index.html, http://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
"Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)", £52.29, http://books.toscrape.comscott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html, http://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
"Rip it Up and Start Again", £35.02, http://books.toscrape.comrip-it-up-and-start-again_986/index.html, http://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
